"","time","day","area","year","air_temp"
"428",15,54,"srimangal",1982,303.780893261038
"429",18,54,"srimangal",1982,301.452358861001
"430",21,54,"srimangal",1982,298.159286556893
"431",0,55,"srimangal",1982,295.830755779234
"432",3,55,"srimangal",1982,292.537701011845
"433",6,55,"srimangal",1982,289.699100814824
"434",9,55,"srimangal",1982,293.013953416748
"435",12,55,"srimangal",1982,300.045943696185
"436",15,55,"srimangal",1982,303.360899185393
"437",18,55,"srimangal",1982,301.01692130002
"438",21,55,"srimangal",1982,297.702008427941
"439",0,56,"srimangal",1982,295.358034188971
"440",3,56,"srimangal",1982,292.043138969919
"441",6,56,"srimangal",1982,287.518930325102
"442",9,56,"srimangal",1982,291.462294511138
"443",12,56,"srimangal",1982,299.827583093925
"444",15,56,"srimangal",1982,303.771069675156
"445",18,56,"srimangal",1982,300.982662600682
"446",21,56,"srimangal",1982,297.039226716987
"447",0,57,"srimangal",1982,294.250823980291
"448",3,57,"srimangal",1982,290.307409096719
"449",6,57,"srimangal",1982,287.548927692056
"450",9,57,"srimangal",1982,291.501998620704
"451",12,57,"srimangal",1982,299.887878683079
"452",15,57,"srimangal",1982,303.841072308203
"453",18,57,"srimangal",1982,301.045801462469
"454",21,57,"srimangal",1982,297.092658659675
"455",0,58,"srimangal",1982,294.297392162396
"456",3,58,"srimangal",1982,290.344270411418
"457",6,58,"srimangal",1982,287.418831585881
"458",9,58,"srimangal",1982,291.726198619859
"459",12,58,"srimangal",1982,300.86366768721
"460",15,58,"srimangal",1982,305.171168414401
"461",18,58,"srimangal",1982,302.125369917668
"462",21,58,"srimangal",1982,297.817924567785
"463",0,59,"srimangal",1982,294.772130809241
"464",3,59,"srimangal",1982,290.464708397954
"465",6,59,"srimangal",1982,289.748977719928
"466",9,59,"srimangal",1982,293.517620538952
"467",12,59,"srimangal",1982,301.512262489148
"468",15,59,"srimangal",1982,305.281022280319
"469",18,59,"srimangal",1982,302.616163088529
"470",21,59,"srimangal",1982,298.847451748603
